stake_pubkey,2026-05-19 18:56:08 UTC,2026-05-19 19:26:08 UTC,2026-05-19 19:56:08 UTC,2026-05-19 20:26:08 UTC,2026-05-19 20:56:08 UTC,2026-05-19 21:26:09 UTC,2026-05-19 21:56:09 UTC,2026-05-19 22:26:09 UTC,2026-05-19 22:56:09 UTC,2026-05-19 23:26:09 UTC,2026-05-19 23:56:09 UTC,2026-05-20 00:26:10 UTC,2026-05-20 00:56:12 UTC,2026-05-20 01:26:13 UTC,2026-05-20 01:56:14 UTC,2026-05-20 02:26:15 UTC,2026-05-20 02:56:16 UTC,2026-05-20 03:26:17 UTC,2026-05-20 03:56:18 UTC,2026-05-20 04:26:19 UTC,2026-05-20 04:56:20 UTC,2026-05-20 05:26:21 UTC,2026-05-20 05:56:23 UTC,2026-05-20 06:26:24 UTC,2026-05-20 06:56:25 UTC,2026-05-20 07:26:26 UTC,2026-05-20 07:56:27 UTC,2026-05-20 08:26:28 UTC,2026-05-20 08:56:29 UTC,2026-05-20 09:26:31 UTC,2026-05-20 09:56:32 UTC
3ECJ2F6Hv6owYp9xxE23jCxfGqg7mF3o4b1pRQTZNriA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.5000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3Qxi6QhdVxCWnXgjueQgMXuJE2QZn51LEdTPrzYKoLFa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.18138641800033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.5874517600023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49eiWE23kqNBMpumAZqVbeYRSkq81BLnyg13hCFTWxbh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.94456284100306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.20491291899816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9uCSt5wWpBqWWPRggZmS5D3tdRdcoaJuaAjv49YV6XCv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.38372973100195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.74776796899823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTDRonMCd9p9BT3utEbDcTAsESAujwPf6Tjay85WxfAw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.399041490003583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.605505221996282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CnxvKaoEmRihHRiDw8ykQ67gkU3xcgV6YW29S477NJc6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.811566771000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.398079672999756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CwPrWzFXzG6YPReTfdBstGgUj451dxxfQHnvFG3cAW6L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.75,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLXJWz66VAFmPu5nUGW7U3QbrrBibLymxJMypc6iV2Tn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.975737016,457.836276189,0.0,0.0
FZrAJUZTqgfqG4FvUovsfmpZdAAuXRR25aPx5wyJMpjA,0.0,0.0,0.0,0.0,0.0,474.25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
HFwvn3BxCHg2gEx2UujRbGGTVu3JnTn96sYjoN3n8i1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.474952521999967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37173883799999885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B6hYoExN4hBmiVhqGKojdc6RRk56R5CKx5nT9cGfdkL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LfYAGMU2xpww4MgaseeKYiGTVnyPa2RVjLUpEcALni7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c8pPWuZzRQGrTXtodQaaB2Uu1Bat2vzWbcLVrN34BiD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sArwFxYDzVvMpVMg4U62eBbtHqHdCiGdQUe7Yd4G4GQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sVF6Zf7ky5nuNVUX2wLWAto7Ugt2BYQEYz2ZN9RhfAi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uFja8kSXRjiS6UwxraTcX6jKDuFoS8eMWNnSZ7AD2Fs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yq9onPQXUaqfxW6a2sKyDx1cXNHkNF4LLVVdj3RdTiC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AZ9FPQHjBGAmd6UC4WAJaGgwx4MTctiRDFbr6WxNCrG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2aKxpnA2kB635M4ws5onCd87Nd5f61u8JiCrCKw45J6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39XFzj8AqGh3Nrv2LM6SAn5UWFDKDdENqmJc6qkWj9xY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3FZ4CjxuqEggrgxfveMquVjbwh7JtQo9nBsaMaXQcaEk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3JVQCLN2cwLP8uN8gVrj5SbuUwB7wHkioBgAq451SjtX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3Q8mG35s9VttaPkzTv3e9nEEX6XEcqWcfswLoL8NBysE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3UTsGofom444M5ucK4xetGkNs4b3HG4Wanw4Enaf4cq6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3kmk9hMtakYHvHN2HaNYxb6GWiGRh1avAEbB82hsHG8Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3ni5R6GyM1eBkDsuMdiJeZfyEvxgJSe6hWgG47XuRJcG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3tqMFf8ANFzpBWHGRiPSSREetfrEWYLz9fSZhgTvPpZG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4KzYZjtoJ6xjdjeZQiZhNjpTp4ka2bTR6u47JRHNP654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4SkgC25x6kcdSJPpsP3vBqcEQr3Q4qYBMrWo5xYZP43D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4eYWPPfBrM3Lm6nX3CU7Us2d7nH3wvD6XoRK5StSAdXG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4mG6PFNsGjAmwqRVgemChFPNSsKuecS9z6ryZpjgHLx5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
