vote_account,2026-05-19 18:56:08 UTC,2026-05-19 19:26:08 UTC,2026-05-19 19:56:08 UTC,2026-05-19 20:26:08 UTC,2026-05-19 20:56:08 UTC,2026-05-19 21:26:09 UTC,2026-05-19 21:56:09 UTC,2026-05-19 22:26:09 UTC,2026-05-19 22:56:09 UTC,2026-05-19 23:26:09 UTC,2026-05-19 23:56:09 UTC,2026-05-20 00:26:10 UTC,2026-05-20 00:56:12 UTC,2026-05-20 01:26:13 UTC,2026-05-20 01:56:14 UTC,2026-05-20 02:26:15 UTC,2026-05-20 02:56:16 UTC,2026-05-20 03:26:17 UTC,2026-05-20 03:56:18 UTC,2026-05-20 04:26:19 UTC,2026-05-20 04:56:20 UTC,2026-05-20 05:26:21 UTC,2026-05-20 05:56:23 UTC,2026-05-20 06:26:24 UTC,2026-05-20 06:56:25 UTC,2026-05-20 07:26:26 UTC,2026-05-20 07:56:27 UTC,2026-05-20 08:26:28 UTC,2026-05-20 08:56:29 UTC,2026-05-20 09:26:31 UTC,2026-05-20 09:56:32 UTC
STKjjGMSqHCAazT32Q1Snmk2pVjFQF3nJwbb3pqNLuL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99771711999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H6DuW27GM7Nku8GYLupn7uiqiYyRXp9qUTafHJvWNTSx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41501.99543424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5fvM18FrMYq2wAR3V5gvJPASTL6CkLzeXCntwa13pP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15457.709153643002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAoJSE4TwBzhsu53Fznr3gocri6oxTiR7XYvfBjjzm7Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21122.335891054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aSBZypQ2V69bztaTVfUCwKjrwWJZtMdrtkeGFKsBwHt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.9977171200007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.99771712000074,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
CaraHZBReeNNYAJ326DFsvy41M2p1KWTEoBAwBL6bmWZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.399041490003583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.605505221996282,0.0,,,0.0,,,0.0,0.0,0.0
FLXwxKNQxWqxMNFFwK3NjcWHz2ETwtpG2xnCkS6sqBxz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.4010080469961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ash2VSKkKrNZmP8wP9pvX3RTejpCJZ93f3pgkMqWmTu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.38372973100195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.74776796899823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3UkgawARDf61HoWLuLYkPABKD9FNRajw3942MkYjnC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.5586272200017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
5983ibcVNxpgM3Zc8KjHGUy3k1vu7c5eHq7VyaYBM1oh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.9977171200007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
